"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"1. Launch browser
2. Navigate to url 'http://automationexercise.com'
3. Verify that home page is visible successfully
4. Click 'Cart' button and scroll down to footer
5. Verify text 'SUBSCRIPTION'
6. Enter email address in input and click arrow button
7. Verify success message 'You have been successfully subscribed!' is visible","1357","Test Case 11: Verify Subscription in Cart page","Suite","Wed May 07 10:28:47 AST 2025","passed","Wed May 07 10:28:49 AST 2025","com.JodaynDemo.tests.TC11_SubscriptionVerificationCart","Test","com.JodaynDemo.tests.TC11_SubscriptionVerificationCart","verifySubscriptionInCartPage"
"1. Launch browser
2. Navigate to url 'http://automationexercise.com'
3. Click on 'Products' button
4. Verify user is navigated to ALL PRODUCTS page successfully
5. Enter product name in search input and click search button
6. Verify 'SEARCHED PRODUCTS' is visible
7. Verify all the products related to search are visible
8. Add those products to cart
9. Click 'Cart' button and verify that products are visible in cart
10. Click 'Signup / Login' button and submit login details
11. Again, go to Cart page
12. Verify that those products are visible in cart after login as well
13. Remove all products that have been added
14. Verify 'Cart is empty! Click here to buy products.' is visible","29285","Test Case 20: Search Products and Verify Cart After Login","Suite","Wed May 07 10:33:52 AST 2025","passed","Wed May 07 10:34:22 AST 2025","com.JodaynDemo.tests.TC20_ProductSearchAndCartValidationAfterLogin","Test","com.JodaynDemo.tests.TC20_ProductSearchAndCartValidationAfterLogin","searchProductsAndVerifyCartAfterLogin"
"1. Launch browser
2. Navigate to url 'http://automationexercise.com'
3. Verify that home page is visible successfully
4. Scroll down page to bottom
5. Verify 'SUBSCRIPTION' is visible
6. Scroll up page to top
7. Verify that page is scrolled up and 'Full-Fledged practice website for Automation Engineers' text is visible on screen","1350","Test Case 26: Verify Scroll Up without 'Arrow' button and Scroll Down functionality","Suite","Wed May 07 10:38:21 AST 2025","passed","Wed May 07 10:38:22 AST 2025","com.JodaynDemo.tests.TC26_ScrollUpandScrollDownNoButtonUsage","Test","com.JodaynDemo.tests.TC26_ScrollUpandScrollDownNoButtonUsage","verifyScrollUpWithoutArrowButtonAndScrollDownFunctionality"
"1. Launch browser
2. Navigate to url 'http://automationexercise.com'
3. Scroll to bottom of page
4. Verify 'RECOMMENDED ITEMS' are visible
5. Click on 'Add To Cart' on Recommended product
6. Click on 'View Cart' button
7. Verify that product is displayed in cart page","8510","Test Case 22: Add to cart from Recommended items","Suite","Wed May 07 10:34:39 AST 2025","passed","Wed May 07 10:34:47 AST 2025","com.JodaynDemo.tests.TC22_AddtoCartRecommendedItems","Test","com.JodaynDemo.tests.TC22_AddtoCartRecommendedItems","AddToCartFromRecommendedItems"
"1. Launch browser
2. Navigate to url 'http://automationexercise.com'
3. Verify that home page is visible successfully
4. Click on 'Products' button
5. Verify user is navigated to ALL PRODUCTS page successfully
6. The products list is visible
7. Click on 'View Product' of first product
8. User is landed to product detail page
9. Verify that detail detail is visible: product name, category, price, availability, condition, brand","8358","Test Case 8: Verify All Products and product detail page","Suite","Wed May 07 10:28:18 AST 2025","passed","Wed May 07 10:28:26 AST 2025","com.JodaynDemo.tests.TC8_ProductAndProductDetailsValidation","Test","com.JodaynDemo.tests.TC8_ProductAndProductDetailsValidation","verifyAllProductsAndProductDetailPage"
"1. Launch browser
2. Navigate to url 'http://automationexercise.com'
3. Verify that home page is visible successfully
4. Click on 'Signup / Login' button
5. Verify 'Login to your account' is visible
6. Enter incorrect email address and password
7. Click 'login' button
8. Verify error 'Your email or password is incorrect!' is visible","2057","Test Case 3: Login User with incorrect email and password","Suite","Wed May 07 10:27:27 AST 2025","passed","Wed May 07 10:27:29 AST 2025","com.JodaynDemo.tests.TC3_LoginWithIncorrectCredentials","Test","com.JodaynDemo.tests.TC3_LoginWithIncorrectCredentials","loginUserWithIncorrectEmailAndPassword"
"1. Launch browser
2. Navigate to url 'http://automationexercise.com'
3. Verify that home page is visible successfully
4. Click on 'Signup / Login' button
5. Verify 'New User Signup!' is visible
6. Enter name and already registered email address
7. Click 'Signup' button
8. Verify error 'Email Address already exist!' is visible","2124","Test Case 5: Register User with existing email","Suite","Wed May 07 10:27:45 AST 2025","passed","Wed May 07 10:27:47 AST 2025","com.JodaynDemo.tests.TC5_RegistrationWithExistingEmail","Test","com.JodaynDemo.tests.TC5_RegistrationWithExistingEmail","registerUserWithExistingEmail"
"1. Launch browser
2. Navigate to url 'http://automationexercise.com'
3. Verify that home page is visible successfully
4. Add products to cart
5. Click 'Cart' button
6. Verify that cart page is displayed
7. Click Proceed To Checkout
8. Click 'Register / Login' button
9. Fill all details in Signup and create account
10. Verify 'ACCOUNT CREATED!' and click 'Continue' button
11. Verify ' Logged in as username' at top
12. Click 'Cart' button
13. Click 'Proceed To Checkout' button
14. Verify Address Details and Review Your Order
15. Enter description in comment text area and click 'Place Order'
16. Enter payment details: Name on Card, Card Number, CVC, Expiration date
17. Click 'Pay and Confirm Order' button
18. Verify success message 'Congratulations! Your order has been confirmed!'
19. Click 'Delete Account' button
20. Verify 'ACCOUNT DELETED!' and click 'Continue' button","20781","Test Case 14: Place Order: Register while Checkout","Suite","Wed May 07 10:29:20 AST 2025","passed","Wed May 07 10:29:40 AST 2025","com.JodaynDemo.tests.TC14_OrderPlaceRegisterDuringCheckout","Test","com.JodaynDemo.tests.TC14_OrderPlaceRegisterDuringCheckout","placeOrderRegisterWhileCheckout"
"","1","setup","Suite","Wed May 07 10:32:43 AST 2025","broken","Wed May 07 10:32:43 AST 2025","com.JodaynDemo.tests.TC15_OrderPlaceRegisterBeforeCheckout","Test","com.JodaynDemo.tests.TC15_OrderPlaceRegisterBeforeCheckout","setup"
"1. Launch browser
2. Navigate to url 'http://automationexercise.com'
3. Verify that home page is visible successfully
4. Click 'View Product' for any product on home page
5. Verify product detail is opened
6. Increase quantity to 4
7. Click 'Add to cart' button
8. Click 'View Cart' button
9. Verify that product is displayed in cart page with exact quantity","7288","Test Case 13: Verify Product quantity in Cart","Suite","Wed May 07 10:29:07 AST 2025","passed","Wed May 07 10:29:14 AST 2025","com.JodaynDemo.tests.TC13_ProductQuantityValidationCart","Test","com.JodaynDemo.tests.TC13_ProductQuantityValidationCart","verifyProductQuantityInCart"
