"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"1. Launch browser
2. Navigate to url 'http://automationexercise.com'
3. Verify that home page is visible successfully
4. Click on 'Products' button
5. Verify user is navigated to ALL PRODUCTS page successfully
6. Enter product name in search input and click search button
7. Verify 'SEARCHED PRODUCTS' is visible
8. Verify all the products related to search are visible","4492","Test Case 9: Search Product","Suite","Wed May 07 07:08:34 AST 2025","passed","Wed May 07 07:08:38 AST 2025","com.JodaynDemo.tests.TC9_ProductSearch","Test","com.JodaynDemo.tests.TC9_ProductSearch","searchProduct"
"1. Launch browser
2. Navigate to url 'http://automationexercise.com'
3. Scroll to bottom of page
4. Verify 'RECOMMENDED ITEMS' are visible
5. Click on 'Add To Cart' on Recommended product
6. Click on 'View Cart' button
7. Verify that product is displayed in cart page","9872","Test Case 22: Add to cart from Recommended items","Suite","Wed May 07 07:13:58 AST 2025","passed","Wed May 07 07:14:07 AST 2025","com.JodaynDemo.tests.TC22_AddtoCartRecommendedItems","Test","com.JodaynDemo.tests.TC22_AddtoCartRecommendedItems","AddToCartFromRecommendedItems"
"1. Launch browser
2. Navigate to url 'http://automationexercise.com'
3. Verify that home page is visible successfully
4. Click on 'Test Cases' button
5. Verify user is navigated to test cases page successfully","1003","Test Case 7: Verify Test Cases Page","Suite","Wed May 07 07:08:13 AST 2025","passed","Wed May 07 07:08:14 AST 2025","com.JodaynDemo.tests.TC7_TestCaseValidation","Test","com.JodaynDemo.tests.TC7_TestCaseValidation","verifyTestCasesPage"
"1. Launch browser
2. Navigate to url 'http://automationexercise.com'
3. Verify that home page is visible successfully
4. Add products to cart
5. Click 'Cart' button
6. Verify that cart page is displayed
7. Click Proceed To Checkout
8. Click 'Register / Login' button
9. Fill all details in Signup and create account
10. Verify 'ACCOUNT CREATED!' and click 'Continue' button
11. Verify ' Logged in as username' at top
12. Click 'Cart' button
13. Click 'Proceed To Checkout' button
14. Verify Address Details and Review Your Order
15. Enter description in comment text area and click 'Place Order'
16. Enter payment details: Name on Card, Card Number, CVC, Expiration date
17. Click 'Pay and Confirm Order' button
18. Verify success message 'Congratulations! Your order has been confirmed!'
19. Click 'Download Invoice' button and verify invoice is downloaded successfully
20. Click 'Continue' button
21. Click 'Delete Account' button
22. Verify 'ACCOUNT DELETED!' and click 'Continue' button","129535","Test Case 24: Download Invoice after purchase order","Suite","Wed May 07 07:14:41 AST 2025","broken","Wed May 07 07:16:50 AST 2025","com.JodaynDemo.tests.TC24_InvoiceDownloadAfterPurchase","Test","com.JodaynDemo.tests.TC24_InvoiceDownloadAfterPurchase","downloadInvoiceAfterPurchaseOrder"
"1. Launch browser
2. Navigate to url 'http://automationexercise.com'
3. Verify that categories are visible on left side bar
4. Click on 'Women' category
5. Click on any category link under 'Women' category, for example: Dress
6. Verify that category page is displayed and confirm text 'WOMEN - DRESS PRODUCTS'
7. On left side bar, click on any sub-category link of 'Men' category
8. Verify that user is navigated to that category page","2744","Test Case 18: View Category Products","Suite","Wed May 07 07:12:52 AST 2025","failed","Wed May 07 07:12:55 AST 2025","com.JodaynDemo.tests.TC18_ProductViewCategory","Test","com.JodaynDemo.tests.TC18_ProductViewCategory","viewCategoryProducts"
"1. Launch browser
2. Navigate to url 'http://automationexercise.com'
3. Verify that home page is visible successfully
4. Scroll down to footer
5. Verify text 'SUBSCRIPTION'
6. Enter email address in input and click arrow button
7. Verify success message 'You have been successfully subscribed!' is visible","624","Test Case 10: Verify Subscription in home page","Suite","Wed May 07 07:08:46 AST 2025","passed","Wed May 07 07:08:46 AST 2025","com.JodaynDemo.tests.TC10_SubscriptionVerificationHome","Test","com.JodaynDemo.tests.TC10_SubscriptionVerificationHome","verifySubscriptionInHomePage"
"1. Launch browser
2. Navigate to url 'http://automationexercise.com'
3. Click on 'Products' button
4. Verify that Brands are visible on left side bar
5. Click on any brand name
6. Verify that user is navigated to brand page and brand products are displayed
7. On left side bar, click on any other brand link
8. Verify that user is navigated to that brand page and can see products","4803","Test Case 19: View & Cart Brand Products","Suite","Wed May 07 07:13:03 AST 2025","failed","Wed May 07 07:13:08 AST 2025","com.JodaynDemo.tests.TC19_ProductBrandCartandView","Test","com.JodaynDemo.tests.TC19_ProductBrandCartandView","viewCartBrandProducts"
"1. Launch browser
2. Navigate to url 'http://automationexercise.com'
3. Click on 'Products' button
4. Verify user is navigated to ALL PRODUCTS page successfully
5. Click on 'View Product' button
6. Verify 'Write Your Review' is visible
7. Enter name, email and review
8. Click 'Submit' button
9. Verify success message 'Thank you for your review.'","4304","Test Case 21: Add review on product","Suite","Wed May 07 07:13:44 AST 2025","passed","Wed May 07 07:13:48 AST 2025","com.JodaynDemo.tests.TC21_ProductReviewAdd","Test","com.JodaynDemo.tests.TC21_ProductReviewAdd","addReviewOnProduct"
"1. Launch browser
2. Navigate to url 'http://automationexercise.com'
3. Verify that home page is visible successfully
4. Click on 'Products' button
5. Verify user is navigated to ALL PRODUCTS page successfully
6. The products list is visible
7. Click on 'View Product' of first product
8. User is landed to product detail page
9. Verify that detail detail is visible: product name, category, price, availability, condition, brand","4302","Test Case 8: Verify All Products and product detail page","Suite","Wed May 07 07:08:23 AST 2025","passed","Wed May 07 07:08:27 AST 2025","com.JodaynDemo.tests.TC8_ProductAndProductDetailsValidation","Test","com.JodaynDemo.tests.TC8_ProductAndProductDetailsValidation","verifyAllProductsAndProductDetailPage"
"1. Launch browser
2. Navigate to url 'http://automationexercise.com'
3. Verify that home page is visible successfully
4. Click 'View Product' for any product on home page
5. Verify product detail is opened
6. Increase quantity to 4
7. Click 'Add to cart' button
8. Click 'View Cart' button
9. Verify that product is displayed in cart page with exact quantity","4077","Test Case 13: Verify Product quantity in Cart","Suite","Wed May 07 07:10:54 AST 2025","passed","Wed May 07 07:10:58 AST 2025","com.JodaynDemo.tests.TC13_ProductQuantityValidationCart","Test","com.JodaynDemo.tests.TC13_ProductQuantityValidationCart","verifyProductQuantityInCart"
