"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Regression Tests","0","User","1","0","Logout User","0"
"0","Regression Tests","0","User","1","0","Login User with incorrect email and password","0"
"0","Regression Tests","0","Cart","1","0","Add Products in Cart","0"
"0","Regression Tests","0","Cart","1","0","Remove Products From Cart","0"
"0","Regression Tests","0","Verify","1","0","Verify Subscription in home page","0"
"0","Regression Tests","1","Place Order","0","0","Place Order: Register while Checkout","0"
"0","Regression Tests","0","Place Order","1","0","Place Order: Register before Checkout","0"
"0","Regression Tests","0","Search","1","0","Search Products and Verify Cart After Login","0"
"0","Regression Tests","0","Contact Us Form","1","0","Contact Us Form","0"
"0","Regression Tests","0","Products","1","0","View & Cart Brand Products","0"
"0","Regression Tests","0","Verify","1","0","Verify Scroll Up without 'Arrow' button and Scroll Down functionality","0"
"0","Regression Tests","0","Cart","1","0","Add to cart from Recommended items","0"
"0","Regression Tests","0","Verify","1","0","Verify Scroll Up using 'Arrow' button and Scroll Down functionality","0"
"0","Regression Tests","0","User","1","0","Login User with correct email and password","0"
"0","Regression Tests","0","Cart","1","0","Verify Product quantity in Cart","0"
"0","Regression Tests","0","User","1","0","User Registration","0"
"0","Regression Tests","0","Verify","1","0","Verify Test Cases Page","0"
"1","Regression Tests","0","Products","0","0","View Category Products","0"
"0","Regression Tests","0","Cart","1","0","Verify Subscription in Cart page","0"
"0","Regression Tests","0","Products","1","0","Add review on product","0"
"0","Regression Tests","0","Invoice","1","0","Download Invoice after purchase order","0"
"0","Regression Tests","0","Verify","1","0","Verify All Products and product detail page","0"
"0","Regression Tests","0","Search","1","0","Search Product","0"
"0","Regression Tests","0","Place Order","1","0","Place Order: Login before Checkout","0"
"0","Regression Tests","0","User","1","0","Register User with existing email","0"
"0","Regression Tests","0","Verify","1","0","Verify address details in checkout page","0"
