"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"1. Launch browser
2. Navigate to url 'http://automationexercise.com'
3. Verify that home page is visible successfully
4. Click on 'Signup / Login' button
5. Verify 'Login to your account' is visible
6. Enter correct email address and password
7. Click 'login' button
8. Verify that 'Logged in as username' is visible
9. Click 'Logout' button
10. Verify that user is navigated to login page","7875","Test Case 4: Logout User","Suite","Wed May 07 10:40:43 AST 2025","passed","Wed May 07 10:40:51 AST 2025","com.JodaynDemo.tests.TC4_UserLogOut","Test","com.JodaynDemo.tests.TC4_UserLogOut","logoutUser"
"1. Launch browser
2. Navigate to url 'http://automationexercise.com'
3. Verify that home page is visible successfully
4. Click on 'Signup / Login' button
5. Verify 'Login to your account' is visible
6. Enter incorrect email address and password
7. Click 'login' button
8. Verify error 'Your email or password is incorrect!' is visible","2643","Test Case 3: Login User with incorrect email and password","Suite","Wed May 07 10:40:35 AST 2025","passed","Wed May 07 10:40:37 AST 2025","com.JodaynDemo.tests.TC3_LoginWithIncorrectCredentials","Test","com.JodaynDemo.tests.TC3_LoginWithIncorrectCredentials","loginUserWithIncorrectEmailAndPassword"
"1. Launch browser
2. Navigate to url 'http://automationexercise.com'
3. Verify that home page is visible successfully
4. Click 'Products' button
5. Hover over first product and click 'Add to cart'
6. Click 'Continue Shopping' button
7. Hover over second product and click 'Add to cart'
8. Click 'View Cart' button
9. Verify both products are added to Cart
10. Verify their prices, quantity and total price","7105","Test Case 12: Add Products in Cart","Suite","Wed May 07 10:42:05 AST 2025","passed","Wed May 07 10:42:12 AST 2025","com.JodaynDemo.tests.TC12_CartAddProducts","Test","com.JodaynDemo.tests.TC12_CartAddProducts","addProductsInCart"
"1. Launch browser
2. Navigate to url 'http://automationexercise.com'
3. Verify that home page is visible successfully
4. Add products to cart
5. Click 'Cart' button
6. Verify that cart page is displayed
7. Click 'X' button corresponding to particular product
8. Verify that product is removed from the cart","3813","Test Case 17: Remove Products From Cart","Suite","Wed May 07 10:43:46 AST 2025","passed","Wed May 07 10:43:49 AST 2025","com.JodaynDemo.tests.TC17_ProductRemovalCart","Test","com.JodaynDemo.tests.TC17_ProductRemovalCart","removeProductsFromCart"
"1. Launch browser
2. Navigate to url 'http://automationexercise.com'
3. Verify that home page is visible successfully
4. Scroll down to footer
5. Verify text 'SUBSCRIPTION'
6. Enter email address in input and click arrow button
7. Verify success message 'You have been successfully subscribed!' is visible","553","Test Case 10: Verify Subscription in home page","Suite","Wed May 07 10:41:47 AST 2025","passed","Wed May 07 10:41:48 AST 2025","com.JodaynDemo.tests.TC10_SubscriptionVerificationHome","Test","com.JodaynDemo.tests.TC10_SubscriptionVerificationHome","verifySubscriptionInHomePage"
"1. Launch browser
2. Navigate to url 'http://automationexercise.com'
3. Verify that home page is visible successfully
4. Add products to cart
5. Click 'Cart' button
6. Verify that cart page is displayed
7. Click Proceed To Checkout
8. Click 'Register / Login' button
9. Fill all details in Signup and create account
10. Verify 'ACCOUNT CREATED!' and click 'Continue' button
11. Verify ' Logged in as username' at top
12. Click 'Cart' button
13. Click 'Proceed To Checkout' button
14. Verify Address Details and Review Your Order
15. Enter description in comment text area and click 'Place Order'
16. Enter payment details: Name on Card, Card Number, CVC, Expiration date
17. Click 'Pay and Confirm Order' button
18. Verify success message 'Congratulations! Your order has been confirmed!'
19. Click 'Delete Account' button
20. Verify 'ACCOUNT DELETED!' and click 'Continue' button","21667","Test Case 14: Place Order: Register while Checkout","Suite","Wed May 07 10:42:28 AST 2025","failed","Wed May 07 10:42:50 AST 2025","com.JodaynDemo.tests.TC14_OrderPlaceRegisterDuringCheckout","Test","com.JodaynDemo.tests.TC14_OrderPlaceRegisterDuringCheckout","placeOrderRegisterWhileCheckout"
"1. Launch browser
2. Navigate to url 'http://automationexercise.com'
3. Verify that home page is visible successfully
4. Click 'Signup / Login' button
5. Fill all details in Signup and create account
6. Verify 'ACCOUNT CREATED!' and click 'Continue' button
7. Verify ' Logged in as username' at top
8. Add products to cart
9. Click 'Cart' button
10. Verify that cart page is displayed
11. Click Proceed To Checkout
12. Verify Address Details and Review Your Order
13. Enter description in comment text area and click 'Place Order'
14. Enter payment details: Name on Card, Card Number, CVC, Expiration date
15. Click 'Pay and Confirm Order' button
16. Verify success message 'Congratulations! Your order has been confirmed!'
17. Click 'Delete Account' button
18. Verify that 'ACCOUNT DELETED!' and click 'Continue' button","22770","Test Case 15: Place Order: Register before Checkout","Suite","Wed May 07 10:42:56 AST 2025","passed","Wed May 07 10:43:19 AST 2025","com.JodaynDemo.tests.TC15_OrderPlaceRegisterBeforeCheckout","Test","com.JodaynDemo.tests.TC15_OrderPlaceRegisterBeforeCheckout","placeOrderRegisterBeforeCheckout"
"1. Launch browser
2. Navigate to url 'http://automationexercise.com'
3. Click on 'Products' button
4. Verify user is navigated to ALL PRODUCTS page successfully
5. Enter product name in search input and click search button
6. Verify 'SEARCHED PRODUCTS' is visible
7. Verify all the products related to search are visible
8. Add those products to cart
9. Click 'Cart' button and verify that products are visible in cart
10. Click 'Signup / Login' button and submit login details
11. Again, go to Cart page
12. Verify that those products are visible in cart after login as well
13. Remove all products that have been added
14. Verify 'Cart is empty! Click here to buy products.' is visible","24017","Test Case 20: Search Products and Verify Cart After Login","Suite","Wed May 07 10:44:34 AST 2025","passed","Wed May 07 10:44:58 AST 2025","com.JodaynDemo.tests.TC20_ProductSearchAndCartValidationAfterLogin","Test","com.JodaynDemo.tests.TC20_ProductSearchAndCartValidationAfterLogin","searchProductsAndVerifyCartAfterLogin"
"1. Launch browser
2. Navigate to url 'http://automationexercise.com'
3. Verify that home page is visible successfully
4. Click on 'Contact Us' button
5. Verify 'GET IN TOUCH' is visible
6. Enter name, email, subject and message
7. Upload file
8. Click 'Submit' button
9. Click OK button
10. Verify success message 'Success! Your details have been submitted successfully.' is visible
11. Click 'Home' button and verify that landed to home page successfully","4927","Test Case 6: Contact Us Form","Suite","Wed May 07 10:41:08 AST 2025","passed","Wed May 07 10:41:13 AST 2025","com.JodaynDemo.tests.TC6_ContactUs","Test","com.JodaynDemo.tests.TC6_ContactUs","contactUsForm"
"1. Launch browser
2. Navigate to url 'http://automationexercise.com'
3. Click on 'Products' button
4. Verify that Brands are visible on left side bar
5. Click on any brand name
6. Verify that user is navigated to brand page and brand products are displayed
7. On left side bar, click on any other brand link
8. Verify that user is navigated to that brand page and can see products","12807","Test Case 19: View & Cart Brand Products","Suite","Wed May 07 10:44:12 AST 2025","passed","Wed May 07 10:44:25 AST 2025","com.JodaynDemo.tests.TC19_ProductBrandCartandView","Test","com.JodaynDemo.tests.TC19_ProductBrandCartandView","viewCartBrandProducts"
